,sent_type,university,sent_id,aligned_to,sentence,cs_word_id,preceding_zh,first_cs_word_zh,preceding_zh first_cs_word_zh,zh_deprel + word and governor ,eng_translation,preceding_eng,first_cs_word_eng,preceding_eng first_cs_word_eng,eng_deprel + word and governor ,,
1,non-code-switch,CMU,296,CMU_2,路上 一般 见到 都 是 学生 ， 很少 见到 游民 ， 公寓 对面 是 公园 和 一 个 艺术馆 ， 环境 很 好 很 安静 。,12,，,公寓,， 公寓,compound:nn 公寓 对面,"On the road, I usually see students and seldom see vagrants. Opposite the apartment is a park and an art museum. The environment is very nice and quiet.",the,apartment,the apartment,nsubj apartment park,,
3,non-code-switch,CMU,3006,CMU_4,房子 的 照片 在 附件 中 ， 还有 好多 照片 放 不 上来 啦 。,3,的,照片,的 照片,nmod:topic 照片 放,"The photos of the house are in the attachment, and there are many photos I can't put up.",The,photos,The photos,nsubj photos attachment,,
5,non-code-switch,CMU,70,CMU_5,房子 共 有 三 个 厕所 。,1,</s>,房子,</s> 房子,nsubj 房子 有,There are three toilets in the house.,the,house,the house,nmod toilets house,,
7,non-code-switch,CMU,6777,CMU_6,没有 找到 寄存 的 地方 。,5,的,地方,的 地方,dobj 找到 地方,No depository was found.,No,depository,No depository,nsubj:pass depository found,,
9,non-code-switch,CMU,4373,CMU_9,全部 木头 地板 ， 干净 。,2,全部,木头,全部 木头,compound:nn 木头 地板,"All wooden floors, clean.",All,wooden,All wooden,amod wooden floors,,
11,non-code-switch,CMU,2172,CMU_10,研究生 ， 女生 。,3,，,女生,， 女生,root  女生,"Graduate student, female.",",",female,", female",vocative student female,,
13,non-code-switch,CMU,358,CMU_13,照片 里 有 床 衣柜 书桌 和 架子 。,4,有,床,有 床,compound:nn 床 衣柜,"There are beds, wardrobes, desks and shelves in the picture.",are,beds,are beds,nsubj are beds,,
15,non-code-switch,CMU,1961,CMU_14,希望 房子 干净 ， 可以 直接 入住 。,3,房子,干净,房子 干净,ccomp 希望 干净,Hope the house is clean and ready to move in.,is,clean,is clean,ccomp Hope clean,,
17,non-code-switch,CMU,5216,CMU_15,补充 ： 请 电话 留言 ， 我们 可以 随时 安排 看 房 。,11,安排,看,安排 看,ccomp 留言 看,"Please leave a message, we can arrange a room viewing at any time.",a,viewing,a viewing,acl room viewing,,
19,non-code-switch,CMU,64,CMU_16,出租 的 两 间 卧室 共用 一 个 卫生间 。,5,间,卧室,间 卧室,dep 卧室 卫生间,The two bedrooms for rent share a bathroom.,two,bedrooms,two bedrooms,nsubj bedrooms share,,
21,non-code-switch,CMU,3964,CMU_17,感兴趣 的 同学 ， 可以 发 邮件 到 chan .,6,可以,发,可以 发,root  发,"For those of you who are interested, send an email to Chan.",", ",send,",  send",root send,,
23,non-code-switch,CMU,5422,CMU_18,房屋 类型 ： 一 室 一 厅 （ 顶楼 ） ， 带 厨房 和 独立 卫生间 。,15,和,独立,和 独立,amod 独立 卫生间,"House type: One bedroom and one living room (top floor), with kitchen and separate bathroom.",and,separate,and separate,conj kitchen separate,,
25,non-code-switch,CMU,5757,CMU_19,附近 有 很多 餐馆 。,3,有,很多,有 很多,dep 很多 餐馆,There are many restaurants nearby.,are,many,are many,amod many restaurants,,
27,non-code-switch,CMU,289,CMU_22,精装 修 家具 全 免费 无线 上网 ！,5,全,免费,全 免费,amod 免费 上网,Hardcover repair furniture all free wireless Internet access!,all,free,all free,amod free access,,
29,non-code-switch,CMU,3463,CMU_25,空间 很大 ， 房子 也 很 新 。,2,空间,很大,空间 很大,dep 很大 房子,The space is huge and the house is new.,is,huge,is huge,root huge,,
31,non-code-switch,CMU,7245,CMU_26,全新 白色 陶瓷 水杯 。,2,全新,白色,全新 白色,amod 白色 陶瓷,New white ceramic water cup.,New,white,New white,amod white cup,,
33,non-code-switch,CMU,288,CMU_30,卧室 无 窗 但 有 独立 卫浴 ， 中央 空调 。,7,独立,卫浴,独立 卫浴,dep 卫浴 空调,"Bedroom is windowless but has its own bathroom, central air conditioning.",its,own,its own,amod own bathroom,,
