word,frequency as %,frequency,neg_log_freq
near,0.0124,0.000124,3.906578315
line,0.0195,0.000195,3.709965389
social,0.0426,0.000426,3.370590401
me,0.17,0.0017,2.769551079
trash,0.00062,0.0000062,5.207608311
two,0.0947,0.000947,3.023650021
still,0.0519,0.000519,3.284832642
agent,0.0051,0.000051,4.292429824
remodel,0.000038,0.00000038,6.420216403
american,0.0242,0.000242,3.616184634
bid,0.00109,0.0000109,4.962573502
update,0.0017,0.000017,4.769551079
bus,0.0026,0.000026,4.585026652
town,0.0115,0.000115,3.93930216
studio,0.0015,0.000015,4.823908741
bug,0.00046,0.0000046,5.337242168
code,0.0073,0.000073,4.13667714
table,0.0284,0.000284,3.54668166
mile,0.00221,0.0000221,4.655607726
building,0.0136,0.000136,3.866461092
fee,0.0014,0.000014,4.853871964
field,0.0157,0.000157,3.804100348
trees,0.0063,0.000063,4.200659451
yellow,0.0039,0.000039,4.408935393
moderate,0.0019,0.000019,4.721246399
no,0.143,0.00143,2.844663963
clear,0.0164,0.000164,3.785156152
learner's,0.000065,0.00000065,6.187086643
block,0.0045,0.000045,4.346787486
message,0.0064,0.000064,4.193820026
orientation,0.0022,0.000022,4.657577319
days,0.0231,0.000231,3.63638802
thread,0.0011,0.000011,4.958607315
email,0.0018,0.000018,4.744727495
deep,0.0134,0.000134,3.872895202
call,0.0173,0.000173,3.761953897
three,0.0446,0.000446,3.350665141
soda,0.00055,0.0000055,5.259637311
nice,0.0058,0.000058,4.236572006
cozy,0.00024,0.0000024,5.619788758
thanks,0.0055,0.000055,4.259637311
visa,0.00038,0.0000038,5.420216403
waive,0.0001,0.000001,6
budget,0.00285,0.0000285,4.54515514
full,0.0196,0.000196,3.707743929
leadership,0.0059,0.000059,4.229147988
bbs,0.000027,0.00000027,6.568636236
shared,0.00653,0.0000653,4.185086819
back,0.0824,0.000824,3.084072788
apt,0.00066,0.0000066,5.180456064
in,1.547,0.01547,1.810509686
liability,0.00236,0.0000236,4.627087997
closet,0.0009,0.000009,5.045757491
confirm,0.0014,0.000014,4.853871964
to,2.043,0.02043,1.689731633
graduate,0.0014,0.000014,4.853871964
prepaid,0.00011,0.0000011,5.958607315
baggage,0.000417,0.00000417,5.379863945
learner,0.00074,0.0000074,5.13076828
view,0.0179,0.000179,3.747146969
undergraduate,0.00055,0.0000055,5.259637311
study,0.0257,0.000257,3.590066877
crime,0.006,0.00006,4.22184875
thx,0.000005,0.00000005,7.301029996
seek,0.0047,0.000047,4.327902142
walk,0.00871,0.0000871,4.059981845
excellent,0.00354,0.0000354,4.450996738
balcony,0.000615,0.00000615,5.211124884
fan,0.0017,0.000017,4.769551079
brother,0.0107,0.000107,3.970616222
deck,0.002,0.00002,4.698970004
twin,0.00122,0.0000122,4.913640169
tag,0.0013,0.000013,4.886056648
biotechnology,0.0004,0.000004,5.397940009
referral,0.00042,0.0000042,5.37675071
l,0.741,0.00741,2.130181792
final,0.0096,0.000096,4.017728767
club,0.004,0.00004,4.397940009
condo,0.00018,0.0000018,5.744727495
quiz,0.00023,0.0000023,5.638272164
washer,0.000096,0.00000096,6.017728767
family,0.03,0.0003,3.522878745
resident,0.00126,0.0000126,4.899629455
applied,0.00828,0.0000828,4.081969663
set,0.0329,0.000329,3.482804102
pictures,0.0032,0.000032,4.494850022
circle,0.0039,0.000039,4.408935393
leasing,0.00017,0.0000017,5.769551079
standard,0.0103,0.000103,3.987162775
rental,0.00073,0.0000073,5.13667714
group,0.027,0.00027,3.568636236
reserved,0.0036,0.000036,4.443697499
very,0.0658,0.000658,3.181774106
mic,0.00025,0.0000025,5.602059991
white,0.0233,0.000233,3.632644079
guest,0.00182,0.0000182,4.739928612
tower,0.0023,0.000023,4.638272164
security,0.0131,0.000131,3.882728704
yard,0.002,0.00002,4.698970004
have,0.289,0.00289,2.539102157
gym,0.00066,0.0000066,5.180456064
easy,0.0095,0.000095,4.022276395
small,0.0319,0.000319,3.496209317
houses,0.0041,0.000041,4.387216143
a,1.622,0.01622,1.78994915
oil,0.0087,0.000087,4.060480747
pick,0.00412,0.0000412,4.385102784
duplex,0.00014,0.0000014,5.853871964
one,0.209,0.00209,2.679853714
visit,0.00667,0.0000667,4.175874166
defamation,0.00013,0.0000013,5.886056648
neighbourhood,0.00078,0.0000078,5.107905397
bonus,0.00054,0.0000054,5.26760624
bar,0.0057,0.000057,4.244125144
refer,0.00367,0.0000367,4.435333936
apartments,0.00053,0.0000053,5.27572413
chinese,0.00773,0.0000773,4.111820506
jfk,0.0000958,0.000000958,6.018634491
civil,0.0079,0.000079,4.102372909
lease,0.00096,0.0000096,5.017728767
all,0.211,0.00211,2.675717545
deliver,0.00232,0.0000232,4.634512015
portable,0.00049,0.0000049,5.30980392
would,0.169,0.00169,2.772113295
maintece,0.000000003,3.00E-11,10.52287875
report,0.0134,0.000134,3.872895202
whole,0.0212,0.000212,3.673664139
sewage,0.00029,0.0000029,5.537602002
ie,0.00036,0.0000036,5.443697499
on,0.502,0.00502,2.299296283
medium,0.0046,0.000046,4.337242168
break,0.0069,0.000069,4.161150909
furniture,0.00157,0.0000157,4.804100348
campus,0.0014,0.000014,4.853871964
park,0.0064,0.000064,4.193820026
blender,0.000234,0.00000234,5.630784143
holder,0.00079,0.0000079,5.102372909
return,0.0136,0.000136,3.866461092
min,0.0024,0.000024,4.619788758
corner,0.0058,0.000058,4.236572006
garage,0.00095,0.0000095,5.022276395
title,0.0053,0.000053,4.27572413
beats,0.000553,0.00000553,5.257274869
immigration,0.00192,0.0000192,4.716698771
later,0.0262,0.000262,3.581698709
miles,0.00647,0.0000647,4.189095719
case,0.038,0.00038,3.420216403
pattern,0.00583,0.0000583,4.234331445
profile,0.0027,0.000027,4.568636236
firestone,0.000044,0.00000044,6.356547324
permit,0.0018,0.000018,4.744727495
pet,0.0014,0.000014,4.853871964
lab,0.0014,0.000014,4.853871964
reading,0.0109,0.000109,3.962573502
so,0.168,0.00168,2.774690718
willing,0.00447,0.0000447,4.349692477
garden,0.0048,0.000048,4.318758763
trick,0.0011,0.000011,4.958607315
tennis,0.00065,0.0000065,5.187086643
last,0.0335,0.000335,3.474955193
luggage,0.00046,0.0000046,5.337242168
stakeholders,0.00151,0.0000151,4.821023053
ineligible,0.00008,0.0000008,6.096910013
mid,0.0039,0.000039,4.408935393
conditions,0.014,0.00014,3.853871964
college,0.008,0.00008,4.096910013
use,0.0546,0.000546,3.262807357
restaurant,0.00254,0.0000254,4.595166283
att,0.00025,0.0000025,5.602059991
window,0.0089,0.000089,4.050609993
powder,0.0018,0.000018,4.744727495
double,0.0055,0.000055,4.259637311
drive,0.00674,0.0000674,4.171340103
sorry,0.0074,0.000074,4.13076828
token,0.00065,0.0000065,5.187086643
ipad,0.000208,0.00000208,5.681936665
manager,0.0037,0.000037,4.431798276
mechanic,0.00025,0.0000025,5.602059991
shoe,0.00077,0.0000077,5.113509275
shopping,0.00168,0.0000168,4.774690718
traffic,0.00328,0.0000328,4.484126156
fully,0.007,0.00007,4.15490196
good,0.0602,0.000602,3.220403509
check,0.0067,0.000067,4.173925197
bedroom,0.003,0.00003,4.522878745
passport,0.00046,0.0000046,5.337242168
shift,0.00471,0.0000471,4.326979093
activity,0.012,0.00012,3.920818754
spring,0.005,0.00005,4.301029996
cash,0.0042,0.000042,4.37675071
downtown,0.0008,0.000008,5.096910013
low,0.0192,0.000192,3.716698771
state,0.0447,0.000447,3.349692477
money,0.018,0.00018,3.744727495
young,0.0251,0.000251,3.600326279
party,0.017,0.00017,3.769551079
playground,0.00036,0.0000036,5.443697499
due,0.0167,0.000167,3.777283529
rooms,0.00344,0.0000344,4.463441557
property,0.01,0.0001,4
gift,0.0036,0.000036,4.443697499
indoor,0.00046,0.0000046,5.337242168
half,0.0189,0.000189,3.723538196
ask,0.0145,0.000145,3.838631998
physics,0.0019,0.000019,4.721246399
center,0.0102,0.000102,3.991399828
show,0.0188,0.000188,3.725842151
area,0.0183,0.000183,3.73754891
fall,0.0095,0.000095,4.022276395
safety,0.0073,0.000073,4.13667714
keep,0.02,0.0002,3.698970004
word,0.0198,0.000198,3.70333481
yearly,0.0004,0.000004,5.397940009
front,0.0181,0.000181,3.742321425
utilities,0.0005,0.000005,5.301029996
popular,0.0071,0.000071,4.148741651
bath,0.0015,0.000015,4.823908741
waiver,0.00027,0.0000027,5.568636236
needed,0.0167,0.000167,3.777283529
table tennis,0.000019,0.00000019,6.721246399
much,0.0594,0.000594,3.226213555
the doorway,0.00104,0.0000104,4.982966661
Condition,0.00851,0.0000851,4.07007044
left,0.0369,0.000369,3.432973634
special,0.012,0.00012,3.920818754
hall,0.007,0.00007,4.15490196
plastic,0.00252,0.0000252,4.598599459
oven,0.00132,0.0000132,4.879426069
thing,0.0249,0.000249,3.603800653
visiting,0.00165,0.0000165,4.782516056
network,0.0091,0.000091,4.040958608
ID,0.0022,0.000022,4.657577319
swimming,0.00121,0.0000121,4.91721463
benefits,0.0064,0.000064,4.193820026
Top,0.0146,0.000146,3.835647144
liar,0.00041,0.0000041,5.387216143
cheated,0.000259,0.00000259,5.586700236
short-term,0.00108,0.0000108,4.966576245
a low price,0.00018,0.0000018,5.744727495
variable speed,0.000015,0.00000015,6.823908741
Available,0.0157,0.000157,3.804100348
them,0.135,0.00135,2.869666232
student union,0.000021,0.00000021,6.677780705
The kitchen,0.0039,0.000039,4.408935393
number,0.032,0.00032,3.494850022
passing,0.0038,0.000038,4.420216403
effective,0.009,0.00009,4.045757491
great,0.0383,0.000383,3.416801226
serious,0.00726,0.0000726,4.139063379
opponent,0.000883,0.00000883,5.054039296
tube,0.002,0.00002,4.698970004
What does,0.0017,0.000017,4.769551079
a long time,0.00298,0.0000298,4.525783736
the basement,0.00048,0.0000048,5.318758763
third,0.0149,0.000149,3.826813732
viewing,0.00103,0.0000103,4.987162775
company,0.018,0.00018,3.744727495
Prices,0.00363,0.0000363,4.440093375
messy,0.000435,0.00000435,5.361510743
landlady,0.000179,0.00000179,5.747146969
load,0.0035,0.000035,4.455931956
At present,0.00101,0.0000101,4.995678626
air conditioners,0.000023,0.00000023,6.638272164
training,0.0108,0.000108,3.966576245
talkative,0.000105,0.00000105,5.978810701
tail,0.00212,0.0000212,4.673664139
invalid,0.00043,0.0000043,5.366531544
from,0.336,0.00336,2.473660723
hygienic,0.00007,0.0000007,6.15490196
improve,0.00539,0.0000539,4.268411235
sun,0.0092,0.000092,4.036212173
third bedroom,0.00000315,3.15E-08,7.501689446
habits,0.00176,0.0000176,4.754487332
Remaining,0.00385,0.0000385,4.41453927
complete,0.00964,0.0000964,4.015922966
housing,0.0032,0.000032,4.494850022
heavier,0.000533,0.00000533,5.273272791
electrical,0.00232,0.0000232,4.634512015
high school,0.0022,0.000022,4.657577319
required,0.0131,0.000131,3.882728704
computer,0.0065,0.000065,4.187086643
transformer,0.00026,0.0000026,5.585026652
convenient,0.00121,0.0000121,4.91721463
lighting,0.00125,0.0000125,4.903089987
disturb,0.000542,0.00000542,5.266000713
inclusive,0.00109,0.0000109,4.962573502
used,0.052,0.00052,3.283996656
change,0.0286,0.000286,3.543633967
consider,0.0114,0.000114,3.943095149
Lawn,0.00079,0.0000079,5.102372909
It has,0.0089,0.000089,4.050609993
the door,0.014,0.00014,3.853871964
spoken,0.00347,0.0000347,4.459670525
Squirrel,0.00025,0.0000025,5.602059991
provide,0.0158,0.000158,3.801342913
light,0.0238,0.000238,3.623423043
managed,0.00515,0.0000515,4.288192771
reasonable,0.00357,0.0000357,4.447331784
price,0.0091,0.000091,4.040958608
get,0.059,0.00059,3.229147988
desk,0.00386,0.0000386,4.413412695
"New York,",0.0204,0.000204,3.690369833
top,0.0146,0.000146,3.835647144
tickets,0.00074,0.0000074,5.13076828
There’s ,0.00969,0.0000969,4.013676223
requirements,0.0061,0.000061,4.214670165
friend,0.0135,0.000135,3.869666232
anything,0.022,0.00022,3.657577319
welcome,0.00308,0.0000308,4.511449283
need,0.0447,0.000447,3.349692477
boss,0.00218,0.0000218,4.661543506
yoga,0.00079,0.0000079,5.102372909
attention,0.0142,0.000142,3.847711656
a lot of,0.00636,0.0000636,4.196542884
maintenance,0.00289,0.0000289,4.539102157
psychology,0.0049,0.000049,4.30980392
could,0.126,0.00126,2.899629455
exchanged,0.00101,0.0000101,4.995678626
During the,0.016,0.00016,3.795880017
blocks,0.00227,0.0000227,4.643974143
Philly,0.00006,0.0000006,6.22184875
denon,0.0000063,0.000000063,7.200659451
expenses,0.0019,0.000019,4.721246399
Right,0.0559,0.000559,3.252588192
maze,0.00037,0.0000037,5.431798276
chemical,0.00488,0.0000488,4.311580178
travel,0.0049,0.000049,4.30980392
air conditioning,0.00012,0.0000012,5.920818754
fruit,0.0035,0.000035,4.455931956
summer vacation,0.000036,0.00000036,6.443697499
transportation,0.0022,0.000022,4.657577319
chest,0.00677,0.0000677,4.169411331
transparent,0.00101,0.0000101,4.995678626
rent,0.0017,0.000017,4.769551079
baths,0.00031,0.0000031,5.508638306
Absolutely,0.003,0.00003,4.522878745
new,0.097,0.00097,3.013228266
appearance,0.00483,0.0000483,4.316052869
photos,0.00153,0.0000153,4.815308569
Teachers,0.00669,0.0000669,4.174573882
landlord,0.000671,0.00000671,5.17327748
lampblack,0.00000391,3.91E-08,7.407823243
agriculture,0.00281,0.0000281,4.55129368
library,0.0063,0.000063,4.200659451
May,0.011,0.00011,3.958607315
given,0.03,0.0003,3.522878745
sofa,0.00125,0.0000125,4.903089987
collar,0.00122,0.0000122,4.913640169
short,0.0167,0.000167,3.777283529
this,0.378,0.00378,2.4225082
Okay,0.00759,0.0000759,4.119758224
your,0.124,0.00124,2.906578315
has,0.136,0.00136,2.866461092
year,0.0296,0.000296,3.528708289
mail,0.003,0.00003,4.522878745
thank you,0.0049,0.000049,4.30980392
completely,0.00778,0.0000778,4.109020403
dog,0.0057,0.000057,4.244125144
Chen,0.0286,0.000286,3.543633967
degree,0.008,0.00008,4.096910013
clean the,0.000191,0.00000191,5.718966633
normally,0.00301,0.0000301,4.521433504
mileage,0.000118,0.00000118,5.928117993
may,0.0952,0.000952,3.021363052
actual,0.00624,0.0000624,4.20481541
driving,0.00394,0.0000394,4.404503778
lot,0.0131,0.000131,3.882728704
cockroach,0.0000601,0.000000601,6.221125528
habit,0.00202,0.0000202,4.694648631
The picture,0.0015,0.000015,4.823908741
Finally,0.0151,0.000151,3.821023053
Can,0.199,0.00199,2.701146924
Dining room,0.00068,0.0000068,5.167491087
and electricity,0.0001,0.000001,6
below,0.0111,0.000111,3.954677021
the rent,0.000213,0.00000213,5.671620397
forums,0.000316,0.00000316,5.500312917
kitchenware,0.0000092,0.000000092,7.036212173
mailbox,0.000126,0.00000126,5.899629455
Rent a house,0.00000551,5.51E-08,7.258848401
materials,0.008,0.00008,4.096910013
intentionally,0.000984,0.00000984,5.007004902
deadlines,0.000188,0.00000188,5.725842151
advise,0.000759,0.00000759,5.119758224
winter,0.0046,0.000046,4.337242168
temperature,0.00785,0.0000785,4.105130343
learning,0.018,0.00018,3.744727495
university,0.0327,0.000327,3.485452247
depends on,0.00251,0.0000251,4.600326279
refrigerator,0.0005,0.000005,5.301029996
domain name,0.000078,0.00000078,6.107905397
mind,0.0268,0.000268,3.571865206
see it,0.00214,0.0000214,4.669586227
Hardly,0.00456,0.0000456,4.341035157
The original price,0.0000109,0.000000109,6.962573502
effect,0.0169,0.000169,3.772113295
bookshelf,0.0000926,0.000000926,6.033389013
depository,0.000113,0.00000113,5.946921557
the landlord,0.000343,0.00000343,5.46470588
Transportation,0.00224,0.0000224,4.649751982
each,0.0551,0.000551,3.258848401
pure,0.00419,0.0000419,4.377785977
trial,0.00571,0.0000571,4.243363892
it,0.647,0.00647,2.189095719
anyone,0.0103,0.000103,3.987162775
you,0.467,0.00467,2.330683119
Kennedy,0.00154,0.0000154,4.812479279
boys,0.00589,0.0000589,4.229884705
discussed,0.0075,0.000075,4.124938737
full set of,0.0000434,0.000000434,6.36251027
ground,0.0143,0.000143,3.844663963
happily,0.00112,0.0000112,4.950781977
vacuum,0.000986,0.00000986,5.006123085
dry cleaning,0.00002,0.0000002,6.698970004
instruments,0.00276,0.0000276,4.559090918
the main,0.008,0.00008,4.096910013
existing,0.00571,0.0000571,4.243363892
leave,0.0157,0.000157,3.804100348
underground,0.00132,0.0000132,4.879426069
Chinese,0.00773,0.0000773,4.111820506
photo,0.00282,0.0000282,4.549750892
wooden,0.00253,0.0000253,4.596879479
quite,0.0168,0.000168,3.774690718
life,0.0648,0.000648,3.188424994
enquire,0.000117,0.00000117,5.931814138
challenges,0.00545,0.0000545,4.263603498
parents,0.0115,0.000115,3.93930216
storage,0.00374,0.0000374,4.427128398
vehicle,0.00379,0.0000379,4.42136079
phishing,0.0000634,0.000000634,6.197910742
valid,0.00222,0.0000222,4.653647026
vacuum cleaner,0.000038,0.00000038,6.420216403
"Then,",0.115,0.00115,2.93930216
This prevents,0.0000329,0.000000329,6.482804102
shading,0.0002,0.000002,5.698970004
The contract,0.0012,0.000012,4.920818754
prepare,0.00295,0.0000295,4.530177984
next-door,0.000055,0.00000055,6.259637311
are,0.34,0.0034,2.468521083
many,0.0646,0.000646,3.189767482
go to,0.00738,0.0000738,4.131943638
want to,0.023,0.00023,3.638272164
elevators,0.000156,0.00000156,5.806875402
functions,0.00682,0.0000682,4.166215625
communal,0.000868,0.00000868,5.061480275
dime,0.000164,0.00000164,5.785156152
monitored,0.000684,0.00000684,5.164943898
environmental,0.00816,0.0000816,4.088309841
oriental,0.000519,0.00000519,5.284832642
accept,0.00519,0.0000519,4.284832642
sufficient,0.00464,0.0000464,4.333482019
interested ,0.00511,0.0000511,4.2915791
Vegetable,0.001,0.00001,5
common,0.0197,0.000197,3.705533774
preferably,0.000379,0.00000379,5.42136079
tires,0.000371,0.00000371,5.43062609
The bedroom,0.000919,0.00000919,5.036684489
accidents,0.00086,0.0000086,5.065501549
type,0.0165,0.000165,3.782516056
spacious,0.000342,0.00000342,5.465973894
a prank,0.0000299,0.000000299,6.524328812
Close to the,0.00173,0.0000173,4.761953897
taste,0.00388,0.0000388,4.411168274
school,0.0244,0.000244,3.612610174
categories,0.00362,0.0000362,4.441291429
items,0.00467,0.0000467,4.330683119
Bedrooms,0.000326,0.00000326,5.4867824
community,0.0171,0.000171,3.76700389
into the,0.0434,0.000434,3.36251027
Price,0.00923,0.0000923,4.034798299
big,0.0168,0.000168,3.774690718
included,0.00847,0.0000847,4.07211659
quality,0.0122,0.000122,3.913640169
independent,0.00694,0.0000694,4.15864053
tools,0.00547,0.0000547,4.262012674
Bedding,0.000244,0.00000244,5.612610174
theoretically,0.000589,0.00000589,5.229884705
Take a shower,0.0000836,0.000000836,6.077793723
with,0.56,0.0056,2.251811973
can’t,0.0341,0.000341,3.467245621
the village,0.0022,0.000022,4.657577319
American,0.0249,0.000249,3.603800653
A room,0.001,0.00001,5
on time,0.00053,0.0000053,5.27572413
the summer,0.00175,0.0000175,4.756961951
facilities,0.00271,0.0000271,4.567030709
months,0.0115,0.000115,3.93930216
chair,0.00696,0.0000696,4.15739076
quiet,0.00551,0.0000551,4.258848401
can be,0.0431,0.000431,3.36552273
goods,0.0056,0.000056,4.251811973
the United States,0.0114,0.000114,3.943095149
support,0.0203,0.000203,3.692503962
check in,0.000192,0.00000192,5.716698771
ignore,0.00181,0.0000181,4.742321425
A living room,0.0000318,0.000000318,6.49757288
layout,0.00086,0.0000086,5.065501549
of,2.542,0.02542,1.594824454
bookcase,0.000106,0.00000106,5.974694135
lawn,0.000793,0.00000793,5.100726813
day,0.0508,0.000508,3.294136288
sheets,0.00158,0.0000158,4.801342913
back and forth,0.00121,0.0000121,4.91721463
online,0.00681,0.0000681,4.166852888
Welcome,0.00308,0.0000308,4.511449283
sunshine,0.000913,0.00000913,5.039529222
basic,0.01,0.0001,4
appointment,0.00166,0.0000166,4.779891912
and after,0.00276,0.0000276,4.559090918
interior,0.0023,0.000023,4.638272164
turn,0.0167,0.000167,3.777283529
The rooms,0.000398,0.00000398,5.400116928
Girls,0.00717,0.0000717,4.144480844
of vision,0.000307,0.00000307,5.512861625
move in,0.000495,0.00000495,5.305394801
Outside the window,0.0000737,0.000000737,6.132532512
controversial,0.00108,0.0000108,4.966576245
the phone,0.00277,0.0000277,4.557520231
grey,0.0026,0.000026,4.585026652
send,0.00572,0.0000572,4.242603971
The room,0.00917,0.0000917,4.037630664
which,0.207,0.00207,2.684029655
