,file,type,conversation,speaker,filtered_transcript_2015,length_of_turn,direction_of_code_switches,first_cs_word,first_cs_word_eng_pos,word_length_eng,english_translation,english_wbw_translation,first_cs_word_zh,word_length_zh,first_cs_word_zh_pos,first_cs_word_eng_raw_freq,first_cs_word_zh_raw_freq,first_cs_word_eng_freq,first_cs_word_zh_freq,chinese_translation,chinese_wbw_translation,cs word en cv surprisal,cs word en wbw cv surprisal,cs word zh cv surprisal,cs word zh wbw cv surprisal
1,01NC02FBY_0101,Conversation,1,2,"['十月', 'you', 'mean', 'finals']",4,['man > eng'],you,2,3,october you mean finals,october you mean finals,你,1,2,950006304,25465651,8.549859863469642,10.042662041356165,十月你是说决赛,十月 你 的 意思 是 决赛,8.606571894224022,8.606571894224022,15.416317532622806,15.416317532622806
6,01NC02FBY_0101,Conversation,1,2,"['那个', 'then', '谁', '拿', '那个', 'top', 'one', '那个', 'foucia*']",9,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng']",then,2,4,that then who takes that top one that foucia*,that then who takes that top one that foucia*,然后,2,2,283578912,5126199,10.294046697993288,12.355253249378546,那个然后谁谁拿拿拿那个拿那个那个,那个 然后 谁 拿 那个 最佳 那个 foucia *,13.15571623108472,13.15571623108472,21.217329143270565,21.217329143270565
8,01NC01FBX_0101,Conversation,1,1,"['就是', 'score', '就是', 'score', 'then', '为什么', '要', 'then', '他', '讲', 'like', '不', '知道', 'then', 'but', 'top', 'five', '没有', 'n.t.u.', '的', '人']",21,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man']",score,1,5,it is score that is the score then why he said that he said that he did not know that the but top five does not have n.t.u.u.,that is score that is score then why would then he said like have no idea then but top five no n.t.u. person,分数,2,0,9348150,74680,15.216972256349694,18.45627699699596,就就得分就分数然后为什么要为什么他他他他他不不不不不不不不不不不不不不不不不不他他不为什么为什么为什么为什么的的,就是 分数 就是 然后 得分 为什么 要 然后 他 讲 喜欢 不 知道 然后 排名 前五 没有 N . T . U . 的 人,16.616290974482776,16.64407690983965,16.805854475867857,20.956881675811157
10,01NC01FBX_0101,Conversation,1,1,"['就', '可以', 'imagine', 'name*', 'list*', '连', 'submit', '一', '六五', '都', '没有', '进', 'top', 'five', '是', '很', '强', '的']",18,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man']",imagine,1,7,"you can be imagine name* list* even submit, one or six or five, it is very strong",can imagine name* list* even submit none of it one six or five top five it is very strong,想象,2,1,11300073,1599462,14.943392952513726,14.035556017456978,就就想象名称*列表*连提交一一六五都都都没有没有没有没有没有没有进没有进没有,就 可以 想象 名称 * 列表 * 连 提交 一 六五 都 没有 进前 五 是 很 强 的,15.890959933905263,9.681966056476721,19.005152584150082,19.367350709155886
16,01NC01FBX_0101,Conversation,1,1,"['你', '你', '真的', '真的', '不', '可以', 'then', '你', '就', '很早', '很早', '去', 'then', '你', '就', '可以', '跟', 'dominique', '讲', '这样', 'like', '唉', '让', '我', '射', '先']",26,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man']",then,2,4,"you, you really can't then, you can go to then very early, you can tell dominique that like this is like this, let me shoot first.","you really can't then you go early and early then you can follow dominique this way like well, let me shoot first",然后,2,2,283578912,5126199,10.294046697993288,12.355253249378546,然后，然后你你不不就早很很早早去早去你你你你就可以可以可以可以可以可以跟可以讲讲讲讲,你 你 真的 真的 不 可以 然后 你 就 很早 很早 去 然后 你 就 可以 跟 多米尼克 讲 这样 喜欢 唉 让 我 射先,14.014024717686194,12.742336163342555,11.333302491915799,17.81760215678656
18,01NC01FBX_0101,Conversation,1,1,"['对', 'hopefully']",2,['man > eng'],hopefully,2,9,to hopefully,right hopefully,希望,2,1,1182177,6355830,18.200207082645257,12.045062197486722,对希望,对 希望,18.89071315785964,16.67557078133604,18.126532500405226,18.126532500405226
20,01NC02FBY_0101,Conversation,1,2,"['可能', '这次', 'male', '会', '失手']",5,"['man > eng', 'eng > man']",male,0,4,maybe male will be lost this time,maybe this time male i will lose their hands,男性,2,0,21239332,599303,14.032986652655715,15.451785233881688,男性会会会会,可能 这次 男性 会 失手,12.267116410957204,13.664605717868609,14.942211954920479,13.976481615129014
30,01NC02FBY_0101,Conversation,1,2,"['我', '的', 'camera']",3,['man > eng'],camera,0,6,my camera,mine camera,相机,2,0,6758774,116837,15.68489156583706,17.810573609705955,我相机,我 的 相机,12.937637631125936,12.763535379672888,21.644687884436014,17.201890424833806
31,01NC02FBY_0101,Conversation,1,2,"['搞', '笑', '刚才', 'breakfast', 'i', 'asked', '瑞', '宝', '呃']",9,"['man > eng', 'eng > man']",breakfast,0,9,funny breakfast i asked ruibao,"funny just now breakfast i asked ruibao, uh",早餐,2,2,7819125,45563,15.474645968450815,19.169136183163022,我问早餐瑞瑞瑞瑞宝宝,搞笑 刚才 我 问 早餐 瑞宝 呃,14.884309751648164,15.36635374091884,16.425256855530087,16.425256855530087
34,01NC02FBY_0101,Conversation,1,2,"['我们', 'gym', '到来', '八点', '多', 'leh', 'then', '我', '就', '讲']",10,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",gym,0,3,"our gym arrives at eight o'clock, leh then, i will talk",us gym at more than eight o'clock leh then i just talk,健身房,3,0,949766,8506,18.5160091238609,21.59044616448376,我们健身房到来到来八点leh然后,我们 健身房 到来 八点 多 leh 我 就 讲,14.59354902593729,14.899513219960037,23.301468627829802,23.301468627829802
