,lengths,POS,frequencies
0,2,2,7.049690697222918
1,4,2,5.949991106791818
2,2,2,7.049690697222918
3,3,2,8.578916703298425
4,5,1,12.133120392210204
5,2,2,16.5646188314811
6,1,2,11.684536233475544
7,6,1,15.357667477088524
8,3,2,3.390288261442669
9,12,0,12.241144000044455
10,1,2,11.684536233475544
11,6,2,9.283917588445854
12,8,1,12.583587525904468
13,4,2,5.949991106791818
14,3,2,4.445691459710157
15,3,1,10.942621960059789
16,4,2,5.949991106791818
17,4,2,9.963006301498769
18,7,2,9.779615476728628
19,4,2,9.629803124346402
20,3,2,14.390118157013
21,5,0,15.807913195793278
22,3,1,7.974089023241638
23,4,2,10.283394366048181
24,3,2,8.578916703298425
25,5,2,12.133120392210204
26,3,1,8.735637729156256
27,2,2,4.042030662314681
28,2,2,7.589832860325798
29,6,2,11.948550649945934
30,4,0,10.283394366048181
31,2,2,16.5646188314811
32,2,2,16.5646188314811
33,4,2,17.398207839067297
34,3,2,13.90986815570823
35,4,2,21.619665431892674
36,4,2,9.121851360763964
37,6,1,11.973402890135159
38,2,2,15.59841414395928
39,4,0,12.35818302474782
40,4,2,12.35818302474782
41,2,2,15.48001295883963
42,2,2,15.48001295883963
43,5,2,13.846881993167063
44,1,1,11.684536233475544
45,3,2,10.346936844846644
46,2,1,4.664104029508081
47,2,2,12.805709661360268
48,5,2,10.154967780103195
49,2,1,8.210674626196004
50,6,2,13.310128515929321
51,3,1,3.390288261442669
52,3,2,16.514126791730078
53,7,2,13.323825593282265
54,4,1,8.312320741298564
55,3,2,7.549857127685005
56,3,0,10.942621960059789
57,2,0,6.721670329601364
58,1,2,12.629887229801241
59,2,2,8.210674626196004
60,6,1,13.310128515929321
61,3,2,3.390288261442669
62,3,2,16.514126791730078
63,7,2,13.323825593282265
64,3,1,7.931406561386513
65,4,2,12.251169933771843
66,9,0,16.692071248167668
67,7,0,13.526976018054981
68,3,2,18.45693401679318
69,4,0,15.362351496808712
70,4,1,7.910311967381982
71,2,0,15.428212141195877
72,4,0,7.910311967381982
73,4,2,7.449062395121635
74,1,2,5.052829786634588
75,9,2,16.692071248167668
76,7,2,13.526976018054981
77,4,1,7.910311967381982
