,sent_type,university,sent_id,aligned_to,sentence,eng_translation,cs_word_id,preceding_zh,first_cs_word_zh,,preceding_zh first_cs_word_zh,zh_deprel + word and governor ,zh_deprel,preceding_eng,first_cs_word_eng,,preceding_eng first_cs_word_eng,eng_deprel + word and governor ,eng_deprel,word_freq_zh,non_log_word_freq_zh,neg_base_e_word_freq_zh,base_e_word_freq_zh,word_freq_eng,non_log_word_freq_eng,neg_base_e_word_freq_eng,base_e_word_freq_eng,cs_word_length_zh,cs_word_length_eng,cs_word_dep_dist,cs_word_pos_zh,cs_word_pos_eng,sentence_length_zh,dep_prob_eng,dep_prob_zh,gt_ngram_surp_eng,ngram_surp_eng,base_2_ngram_prob_eng,raw_ngram_prob_eng,base_10_ngram_prob_eng,base_10_ngram_surp_eng,ngram_surp_zh,base_2_ngram_prob_zh,raw_ngram_prob_zh,base_10_ngram_prob_zh,base_10_ngram_surp_zh,retrained_ngram_surp_zh,dep_surp_eng,dep_surp_zh,llm_surp_zh,llm_surp_eng
1,non-code-switch,CMU,296,CMU_2,路上 一般 见到 都 是 学生 ， 很少 见到 游民 ， 公寓 对面 是 公园 和 一 个 艺术馆 ， 环境 很 好 很 安静 。,"On the road, I usually see students and seldom see vagrants. Opposite the apartment is a park and an art museum. The environment is very nice and quiet.",12,，,公寓,7.239988,， 公寓,compound:nn 公寓 对面,compound:nn,the,apartment,4.3777657,the apartment,nsubj apartment park,nsubj,56.337067538045000,0.000000000000000,-39.049879525011100,39.049879525011100,15.4251678,0.0000227,-10.6919116,10.6919116,2,9,1,NN,NN,26,-4.9383836,-4.4210234,14.5426228716642,14.5426229,-14.5426229,0.0000419,-4.3777657,4.3777657,16.4480642,-16.4480642,0.0000112,-4.9513607,4.9513607,7.239988,4.9383836,4.4210234,27.0105810165405,10.1856985092163
3,non-code-switch,CMU,3006,CMU_4,房子 的 照片 在 附件 中 ， 还有 好多 照片 放 不 上来 啦 。,"The photos of the house are in the attachment, and there are many photos I can't put up.",3,的,照片,6.609683,的 照片,nmod:topic 照片 放,nmod:topic,The,photos,4.3976407,The photos,nsubj photos attachment,nsubj,53.63066899462950,0.00000000000000,-37.17394700517110,37.17394700517110,17.1492771,0.0000069,-11.8869731,11.8869731,2,6,8,NN,NNS,15,-4.7332478,-4.1015306,14.6086461925501,14.6086462,-14.6086462,0.0000400,-4.3976407,4.3976407,12.1741908,-12.1741908,0.0002164,-3.6647966,3.6647966,6.609683,4.7332478,4.1015306,29.0190839767456,13.7454204559326
5,non-code-switch,CMU,70,CMU_5,房子 共 有 三 个 厕所 。,There are three toilets in the house.,1,<s>,房子,7.0391965,<s> 房子,nsubj 房子 有,nsubj,the,house,8.735376,the house,nmod toilets house,nmod,53.96242516285600,0.00000000000000,-37.40390285781070,37.40390285781070,11.97831148,0.00024784,-8.30273283,8.30273283,2,5,2,NN,NNP,7,-5.233766,-4.2590475,10.1582335449832,29.018291,-29.018291,0.000000,-8.735376,8.735376,18.326160,-18.326160,0.000003,-5.516724,5.516724,7.0391965,5.233766,4.2590475,16.610978603363,4.21252393722534
7,non-code-switch,CMU,6777,CMU_6,没有 找到 寄存 的 地方 。,No depository was found.,5,的,地方,6.734926,的 地方,dobj 找到 地方,dobj,No,depository,6.2575774,No depository,nsubj:pass depository found,nsubj:pass,49.77075703849430,0.00000000000000,-34.49845991556640,34.49845991556640,19.7868290,0.0000011,-13.7151847,13.7151847,2,10,3,NN,NN,6,-6.2099457,-3.6667225,2.51589612632951,20.7872222,-20.7872222,0.0000006,-6.2575774,6.2575774,9.8115847,-9.8115847,0.0011128,-2.9535813,2.9535813,6.734926,6.2099457,3.6667225,40.3352847099304,15.531626701355
9,non-code-switch,CMU,4373,CMU_9,全部 木头 地板 ， 干净 。,"All wooden floors, clean.",2,全部,木头,7.1670523,全部 木头,compound:nn 木头 地板,compound:nn,All,wooden,4.3671575,All wooden,amod wooden floors,amod,58.59806786547810,0.00000000000000,-40.61708552721650,40.61708552721650,15.4524867,0.0000223,-10.7108476,10.7108476,2,6,1,NN,JJ,6,-3.3333716,-5.403542,14.5073831940481,14.5073832,-14.5073832,0.0000429,-4.3671575,4.3671575,20.79866,-20.79866,0.00000,-6.26102,6.26102,7.1670523,3.3333716,5.403542,14.3784449100494,17.2214546203613
11,non-code-switch,CMU,2172,CMU_10,研究生 ， 女生 。,"Graduate student, female.",3,，,女生,7.239988,， 女生,root  女生,root,",",female,6.7056246,", female",vocative student female,vocative,57.441879775100100,0.000000000000000,-39.815677012174000,39.815677012174000,14.04268479,0.00005926,-9.73364737,9.73364737,2,6,0,NN,NN,4,-4.3160625,-5.389685,13.779491611295,22.2756028,-22.2756028,0.0000002,-6.7056246,6.7056246,16.8528445,-16.8528445,0.0000084,-5.0732117,5.0732117,7.239988,4.3160625,5.389685,20.4149656295776,12.7946729660034
13,non-code-switch,CMU,358,CMU_13,照片 里 有 床 衣柜 书桌 和 架子 。,"There are beds, wardrobes, desks and shelves in the picture.",4,有,床,7.2971773,有 床,compound:nn 床 衣柜,compound:nn,are,beds,8.090312,are beds,nsubj are beds,nsubj,56.064476502145900,0.000000000000000,-38.860933817031700,38.860933817031700,15.8532482,0.0000169,-10.9886343,10.9886343,1,4,1,NN,NNS,9,-5.07059,-4.6816907,19.7411712639873,26.875435,-26.875435,0.000000,-8.090312,8.090312,12.6429849,-12.6429849,0.0001563,-3.8059177,3.8059177,7.2971773,5.07059,4.6816907,24.046537399292,17.0733375549316
15,non-code-switch,CMU,1961,CMU_14,希望 房子 干净 ， 可以 直接 入住 。,Hope the house is clean and ready to move in.,3,房子,干净,7.1807833,房子 干净,ccomp 希望 干净,ccomp,is,clean,4.866945,is clean,ccomp Hope clean,ccomp,56.27011480899360,0.00000000000000,-39.00347142963830,39.00347142963830,14.6615674,0.0000386,-10.1626241,10.1626241,2,5,2,VA,JJ,8,-3.4796352,-2.9785972,16.1676413317716,16.167641,-16.167641,0.000014,-4.866945,4.866945,19.37797,-19.37797,0.00000,-5.83335,5.83335,7.1807833,3.4796352,2.9785972,20.7427287101746,6.67713165283203
17,non-code-switch,CMU,5216,CMU_15,补充 ： 请 电话 留言 ， 我们 可以 随时 安排 看 房 。,"Please leave a message, we can arrange a room viewing at any time.",11,安排,看,6.558925,安排 看,ccomp 留言 看,ccomp,a,viewing,4.587075,a viewing,acl room viewing,acl,48.781728124523700,0.000000000000002,-33.812917312355400,33.812917312355400,16.8177170,0.0000087,-11.6571531,11.6571531,1,7,6,VV,VBG,13,-4.89922,-4.785304,8.94143121539453,15.237933,-15.237933,0.000026,-4.587075,4.587075,14.906179,-14.906179,0.000033,-4.487207,4.487207,6.558925,4.89922,4.785304,26.5129261016846,15.3492727279663
19,non-code-switch,CMU,64,CMU_16,出租 的 两 间 卧室 共用 一 个 卫生间 。,The two bedrooms for rent and a shared bathroom.,5,间,卧室,7.1670523,间 卧室,dep 卧室 卫生间,dep,two,bedrooms,4.1749787,two bedrooms,nsubj bedrooms share,nsubj,58.0586281945194,0.0000000000000,-40.2431744402093,40.2431744402093,18.5151967,0.0000027,-12.8337564,12.8337564,2,8,4,NN,NNS,10,-5.5195537,-5.7867436,12.5969124493255,13.8689790,-13.8689790,0.0000668,-4.1749787,4.1749787,10.5910369,-10.5910369,0.0006483,-3.1882198,3.1882198,7.1670523,5.5195537,5.7867436,23.0282201766968,14.1056699752808
