,zh_translation,eng_translation,first_cs_word_form
0,但是 在 邮件 里面 他 想 索要 我 的 地址 ， 想要 给 我 寄 支票 。,But in the email he wanted my address and he wanted to send me a check.,email
1,欢迎 联系 并 告知 租房 要求 （ 简单 自我 介绍 ， 告知 入住 时间 ， 人数 ， 房间 或者 房子 离 学校 远近 ， 预算 ） 。,"You are welcome to contact us and tell us the rental requirements (brief introduction, time, number of people, distance from the room or house to the school, budget).",or
2,一 间 中等 的 卧室 。,A medium bedroom.,bedroom
3,房子 有 中央 空调 循环 ， 通风 和 湿度 都 没有 没 问题 。,"The house has central air-conditioning circulation, ventilation and humidity are not a problem.",house
4,独 栋 住宅 中 的 一 个 最大 房间 ， 租金 为 ： 399$ / 月 。,"The largest room in the house, rent: $399 / month.",house
5,由 正规 公司 管理 ， 欢迎 发 邮件 联系 咨询 详细 。,"For the formal management of the company, you are welcome to contact by email for consultation details.",email
6,现在 已经 有 两 个 博士生 ， 一 男 一 女 （ 不 是 情侣 ） 。,"Now there are two PHDs, one male and one female (not couple).",phd
7,出租 客厅 / 卧室 ， 房间 面积 大 采光 好 ， 户型 非常 好 ， 卧室 客厅 无 连通 互 不 影响 。,"Living room/bedroom for rent. The room has a large area and good lighting, and the floor plan is very good. There is no connection between the bedroom and the living room and no influence on each other.",floor
8,无 任何 大 事故 ， 无 事故 ， 定期 保养 ， 车况 良好 。,"No major accidents, clean title, regular maintenance, good car condition.",clean
9,原价 ： 房租 一 共 是 $1350 （ 可以 给 你 看 我们 的 租约 ） ， 三 间 房 其中 一 间 大 的 是 $490 ， 其他 两 间 都 是 $430 。,"Original price: Total rent: $1350 (I can show you our lease), three rooms, one large one is $490, the other two are $430.",lease
10,一 层 有 门卫 帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；,"There is doorman on the first floor to help open the door and send and receive express, so you don't have to worry about the loss of express.",doorman
11,每个 卧室 里 还 有 两 层 ， 是 个 阁楼 的 感觉 ， 很 大 。,"Each bedroom has two levels, which makes it feel like a loft. It is very big.",bedroom
12,无线 激光 打印机 兄弟 牌 可以 复印 ， 扫描 ！,"Brother brand wireless laser printer can copy, scan!",brother
13,租 新房 还 得 大 冬天 往返 宜家 搬家 具 组装 家具 ， 折腾 一 遍 签 合同 接 电网 的 手续 ， 来 这 直接 拎包 入住 ， 很 方便 ！,"Renting a new house also involves commuting to ikea in the middle of winter to move and assemble furniture, going through a process to connect to the power grid, just grab your bag and check in, so easy!",so
14,跳舞 是 什么 意思,"What does ""Just Dance"" mean?",just
15,要求 ： 禁止 吸烟 ， 禁止 宠物 入内 ， 禁止 举办 派对 。,"Requirement: No smoking, no pets, no parties.",no
16,全新 的 儿童 安全 镜 ， 可以 看到 坐在 儿童 安全 座椅 上 小孩 的 情况 ， $5 。,"New Baby Safety Mirror that shows a child in the rear face seat, $5.",baby
17,全 家 具 单人间 ， 基本 家具 都 用 ， 水电 网络 电视 线缆 + 日常 维修 等等 全 包 。,"Fully furnished studio, cable and daily maintenance are provided.",fully
18,房子 一共 有 两 层 + 地下室 。,House has two floors plus basement.,house
19,因为 是 单独 一 层 ， 有 独立 卫生间 ， 所以 应该 是 男女 都 可以 住 ， 但 比较 喜欢 男生 。,"It is a separate floor with a separate bathroom, so it is open to both men and women, but prefer men.",prefer
20,大家 找 工作 都 需要 专业 头像 作为 自己 的 个人 资料 图片 。,Everyone needs a professional profile picture as their profile picture when looking for a job.,profile
21,本人 男 ， 在 帕克 校区 。,"I am male, from Park Campus.",park
22,可以 加 租金 。,You can add a lease.,lease
23,公寓 是 一 房 一 厅 ， 一 厨房 ， 一卫浴 。,"This apartment has one bedroom, one living room, one kitchen and one bathroom.",apartment
24,去做 检查 的 时候 ， 记得 说 明白 ， 是 做 机械 检查 ， 不 是 安全 和 尾气 检查,"When you go for a mechanical inspection, please make it clear that it is not a safety or exhaust inspection",inspection
25,朋友 来 聚餐 ， 开 派对 都 有 足够 空间 。,There is plenty of room for friends to come for dinner or parties.,party
26,如果 有 符合 的 条件 的 麻烦 请 联系 一下 以下 的 邮箱 。,"If there are any qualified conditions, please contact the following email.",email
27,会 优先 考虑 研究生 和 女生 。,Priority will be given to graduate students and girls.,graduate
28,超 好 的 房子,"Super good house,",house
29,垃圾 有 人 每天 清理 ， 相 比较 住 独 栋 住宅 简直 省 时 省力 。,"Someone has to clean up the garbage every day. Compared with living in a house, it saves time and energy.",house
30,嗨 ， 如题 ， 往返 波士顿 ， 6 。,"Hi, to and from Boston, 6.",hi
31,独 栋 住宅 中 的 一 个 最大 房间 ， 租金 为 ： 399$ / 月 。,"The largest room in the house, rent: $399 / month.",house
32,首先 ， 这 并不 是 所谓 的 公寓 ， 而 是 一 个 房子 里面 的 ， 地下层 。,"First of all, this is not an apartment, it's a ground floor in a house.",apartment
33,主楼 格局 《 ——————————————————————————— 》 走廊,Main Floor ——————————————————————————— corridor,main
34,四 居室 的 房子 需要 找 一 个 男性 室友 。,The four-bedroom house requires a male roommate.,house
35,出租 的 此 房间 月 租金 便宜 ， 设施 齐全 ， 有 兴趣 的 人 可以 联系 我 看 房 ， 谢谢 ！,"If you are interested in this room, you can contact me to see it. Thanks!",thanks
36,大厅 照片 ， 安全 有 保障,"Lobby has cameras, security is guaranteed",lobby
37,需要 注意 的 是 ， 要 与 房东 签 租金 ， 一般 是 一 年 一 签 。,"It should be noted that the lease should be signed with the landlord, usually once a year.",lease
38,你 好 请问 房间 还 有 吗,"Hello, is there any room available",hello
39,你 是 不 是 还在 为 暑期 找 不 到 房子 而 发愁 ？,Are you still having trouble finding an apartment for Summer?,summer
40,富有 责任心 现在 就 申请 请 发送 你 的 简历 至 em@111,To apply now send your resume to em@111,resume
41,地毯 刚刚 完全 清理 过 。,The carpet was just deep cleaned.,deep
42,五 人 搭车,Is' ride for five 'still available?,ride
43,独立 卫生间 ， 独立 大 衣帽间 ， 基本 可以 算是 一 个 没有 厨房 的 工作室 。,"Independent bathroom, independent large cloakroom, basically can be regarded as a studio without a kitchen.",studio
