,university,sent_id,original_sentence,zh_translation,eng_translation,cs_word_id,first_cs_word_form,cs_word_annotated,cs_word_annotated_zh,first_cs_word_translation,governer_first_cs_word,preceding_word,governer_translation,preceding_translation,cs_word_frequency,cs_word_frequency_zh,cs_word_length,cs_word_length_zh,cs_word_dep_dist,cs_word_pos_zh,sentence_length,sentence_length_zh,ngram_prob,ngram_prob_zh,dep_prob,dep_prob_zh,ngram_surp,ngram_surp_zh,dep_surp,dep_surp_zh,,,,preceding_translation,first_cs_word_form,,,preceding_word,first_cs_word_translation,preceding_wordfirst_cs_word_translation
0,CMU,2,rich neighborhood ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,富人 区 ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,"Rich area, very safe (it belongs to rich area), next to the park, there are all kinds of golf courses and community facilities nearby, very nice and quiet environment.",1,rich,amod,compound,富人,neighborhood,</s>,社区,</s>,11.319097967990100,10.402807236115900,4,2,1,NN,34,34,-5.0659394,-5.630717,-3.3263972,-6.4697857,5.0659394,5.630717,3.3263972,6.4697857,,,,</s>,rich,</s> rich,,</s>,富人,</s>富人
1,CMU,4,lease 从 八月 开始 ， 具体 日期 可以 商量 。,租约 从 八月 开始 ， 具体 日期 可以 商量 。,"The lease will start in August, the exact date is negotiable.",1,lease,nsubj,nsubj,租约,商量,</s>,To discuss,</s>,7.34880605443795,10.066334999494700,5,2,8,NN,10,10,-5.4342823,-5.630717,-4.849754,-3.3076859,5.4342823,5.630717,4.849754,3.3076859,,,,</s>,lease,</s> lease,,</s>,租约,</s>租约
2,CMU,5,house 一共 有 两 层 + 地下室 。,房子 一共 有 两 层 + 地下室 。,The house has two floors plus a basement.,1,house,nsubj,nsubj,房子,有,</s>,There are,</s>,6.694125154705800,7.084991463392810,5,2,2,NN,8,8,-4.800256,-4.787219,-4.2371154,-1.658982,4.800256,4.787219,4.2371154,1.658982,,,,</s>,house,</s> house,,</s>,房子,</s>房子
3,CMU,6,一共 有 两 个 可以 洗澡 的 bathroom 。,一共 有 两 个 可以 洗澡 的 浴室 。,There are two bathrooms with a bath.,8,bathroom,det,obj,浴室,有,的,There are,The,8.61104776688786,9.709660055555970,8,2,6,NN,9,9,-1.4044223,-2.0009315,-5.7049494,-1.2628695,1.4044223,2.0009315,5.7049494,1.2628695,,,,The,bathroom,The bathroom,,的,浴室,的浴室
4,CMU,9,整个 house 家具 齐全 。,整个 房子 家具 齐全 。,The whole house is fully furnished.,2,house,nsubj:pass,nmod,房子,家具,整个,furniture,the whole,6.694125154705800,7.084991463392810,5,2,1,NN,5,5,-1.4044223,-5.630717,-3.3210077,-6.1155834,1.4044223,5.630717,3.3210077,6.1155834,,,,the whole,house,the whole house,,整个,房子,整个房子
5,CMU,10,后院 ： deck 。,后院 ： 阳台 。,Backyard: balcony.,3,deck,root,compound,阳台,阳台,：,The balcony,: ,10.220485679322000,9.93280360687018,4,2,0,NN,4,4,-2.291965,-1.7983218,-4.697758,-6.4697857,2.291965,1.7983218,4.697758,6.4697857,,,,: ,deck,:  deck,,：,阳台,：阳台
6,CMU,13,空调 有 window ac 和 暖气 。,空调 有 窗口 式 冷气机 和 暖气 。,There are window - type air - conditioners and central heating units.,3,window,compound,compound,窗口,ac,有,空调,There are,10.402807236115900,12.012245148550000,6,2,1,NN,7,8,-1.851445,-2.1462324,-4.1384425,-6.029768,1.851445,2.1462324,4.1384425,6.029768,,,,There are,window,There are window,,有,窗口,有窗口
7,CMU,14,入住 时间 flexible ， 可 长期 入住 。,入住 时间 灵活 ， 可 长期 入住 。,"Flexible check-in time, can be long stay.",3,flexible,amod,advmod,灵活,入住,时间,to stay in,time,10.625950787430100,10.913632859881900,8,2,2,VA,8,8,-3.6234782,-4.1126027,-3.7149053,-2.9495683,3.6234782,4.1126027,3.7149053,2.9495683,,,,time,flexible,time flexible,,时间,灵活,时间灵活
8,CMU,15,感兴趣 的 同学 ， 欢迎 email （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己 。,感兴趣 的 同学 ， 欢迎 发送 邮件 （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己 。,"If you are interested, please send us an email (please mark ""Rent""). Please introduce yourself briefly.",6,email,obj,advcl,发送,欢迎,欢迎,welcome,welcome,7.630218513876140,10.220485679322000,5,2,1,VV,20,21,-3.1333272,-5.3656597,-4.0025353,-6.0025077,3.1333272,5.3656597,4.0025353,6.0025077,,,,welcome,email,welcome email,,欢迎,发送,欢迎发送
9,CMU,2,rich neighborhood ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,富人 区 ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,"Rich area, very safe (it belongs to rich area), next to the park, there are all kinds of golf courses and community facilities nearby, very nice and quiet environment.",1,rich,amod,compound,富人,neighborhood,</s>,社区,</s>,7.83785787865438,9.239656426310240,4,2,3,NN,34,34,-5.0659394,-5.630717,-3.3263972,-6.4697857,5.0659394,5.630717,3.3263972,6.4697857,,,,</s>,rich,</s> rich,,</s>,富人,</s>富人
