Unnamed: 0,university,sent_id,original_sentence,translation,eng_translation,word_id,first_cs_word_form,first_cs_word_translation,governer_first_cs_word,preceding_word,governer_trans,preceding_trans,preceding_prob,Unnamed: 14,preceding_trans.1,first_cs_word_form.1,Unnamed: 17,cs_word_annotated
0.0,CMU,2.0,rich neighborhood ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,富人 区 ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,"Rich area, very safe (it belongs to rich area), next to the park, there are all kinds of golf courses and community facilities nearby, very nice and quiet environment.",1.0,rich,富人,neighborhood,</s>,社区,</s>,0.0,,</s>,rich,</s> rich,amod
1.0,CMU,4.0,lease 从 八月 开始 ， 具体 日期 可以 商量 。,租约 从 八月 开始 ， 具体 日期 可以 商量 。,"The lease will start in August, the exact date is negotiable.",1.0,lease,租约,商量,</s>,To discuss,</s>,0.0,,</s>,lease,</s> lease,nsubj
2.0,CMU,5.0,house 一共 有 两 层 + 地下室 。,房子 一共 有 两 层 + 地下室 。,The house has two floors plus a basement.,1.0,house,房子,有,</s>,There are,</s>,0.0,,</s>,house,</s> house,nsubj
3.0,CMU,6.0,一共 有 两 个 可以 洗澡 的 bathroom 。,一共 有 两 个 可以 洗澡 的 浴室 。,There are two bathrooms with a bath.,8.0,bathroom,浴室,有,的,There are,The,8.788780493929459e-05,,The,bathroom,The bathroom,det
4.0,CMU,9.0,整个 house 家具 齐全 。,整个 房子 家具 齐全 。,The whole house is fully furnished.,2.0,house,房子,家具,整个,furniture,the whole,7.82729848620047e-05,,the whole,house,the whole house,nsubj:pass
5.0,CMU,10.0,后院 ： deck 。,后院 ： 阳台 。,Backyard: balcony.,3.0,deck,阳台,阳台,：,The balcony,: ,5.87586069117749e-06,,: ,deck,:  deck,NA
6.0,CMU,13.0,空调 有 window ac 和 暖气 。,空调 有 窗口 式 冷气机 和 暖气 。,There are window - type air - conditioners and central heating units.,3.0,window,窗口,ac,有,空调,There are,0.00332088859553227,,There are,window,There are window,compound
7.0,CMU,14.0,入住 时间 flexible ， 可 长期 入住 。,入住 时间 灵活 ， 可 长期 入住 。,"Flexible check-in time, can be long stay.",3.0,flexible,灵活,入住,时间,to stay in,time,1.0772411267158698e-05,,time,flexible,time flexible,amod
8.0,CMU,15.0,感兴趣 的 同学 ， 欢迎 email （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己 。,感兴趣 的 同学 ， 欢迎 发送 邮件 （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己 。,"If you are interested, please send us an email (please mark ""Rent""). Please introduce yourself briefly.",6.0,email,发送,欢迎,欢迎,welcome,welcome,0.00016452409935296998,,welcome,email,welcome email,obj
9.0,CMU,2.0,rich neighborhood ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,富人 区 ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,"Rich area, very safe (it belongs to rich area), next to the park, there are all kinds of golf courses and community facilities nearby, very nice and quiet environment.",1.0,rich,富人,neighborhood,</s>,社区,</s>,0.0,,</s>,rich,</s> rich,amod
10.0,CMU,4.0,lease 从 八月 开始 ， 具体 日期 可以 商量 。,租约 从 八月 开始 ， 具体 日期 可以 商量 。,"The lease will start in August, the exact date is negotiable.",1.0,lease,租约,商量,</s>,To discuss,</s>,0.0,,</s>,lease,</s> lease,nsubj
11.0,CMU,5.0,house 一共 有 两 层 + 地下室 。,房子 一共 有 两 层 + 地下室 。,The house has two floors plus a basement.,1.0,house,房子,有,</s>,There are,</s>,0.0,,</s>,house,</s> house,nsubj
12.0,CMU,6.0,一共 有 两 个 可以 洗澡 的 bathroom 。,一共 有 两 个 可以 洗澡 的 浴室 。,There are two bathrooms with a bath.,8.0,bathroom,浴室,有,的,There are,the,8.788780493929459e-05,,the,bathroom,the bathroom,det
13.0,CMU,9.0,整个 house 家具 齐全 。,整个 房子 家具 齐全 。,The whole house is fully furnished.,2.0,house,房子,家具,整个,furniture,The whole,7.82729848620047e-05,,The whole,house,The whole house,nsubj:pass
14.0,CMU,10.0,后院 ： deck 。,后院 ： 阳台 。,Backyard: balcony.,3.0,deck,阳台,阳台,：,The balcony,:,5.87586069117749e-06,,:,deck,: deck,NA
15.0,CMU,13.0,空调 有 window ac 和 暖气 。,空调 有 窗口 式 冷气机 和 暖气 。,There are window - type air - conditioners and central heating units.,3.0,window,窗口,ac,有,空调,There are,0.00332088859553227,,There are,window,There are window,compound
16.0,CMU,14.0,入住 时间 flexible ， 可 长期 入住 。,入住 时间 灵活 ， 可 长期 入住 。,"Flexible check-in time, can be long stay.",3.0,flexible,灵活,入住,时间,to stay in,time,1.0772411267158698e-05,,time,flexible,time flexible,amod
17.0,CMU,15.0,感兴趣 的 同学 ， 欢迎 email （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己 。,感兴趣 的 同学 ， 欢迎 发送 邮件 （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己 。,"If you are interested, please send us an email (please mark ""Rent""). Please introduce yourself briefly.",6.0,email,发送,欢迎,欢迎,welcome,welcome,0.00016452409935296998,,welcome,email,welcome email,obj
18.0,CMU,17.0,有 兴趣 者 ， 请 email 短信 介绍 一下 自己 情况 。,有 兴趣 者 ， 请 发送 短信 介绍 一下 自己 情况 。,"If you are interested, please send a short message to introduce yourself.",6.0,email,发送,发送,请,send,please,0.00016452409935296998,,please,email,please email,det
19.0,CMU,18.0,半山 独 栋 别墅 ， 自 带 车库 和 driveway 。,半山 独 栋 别墅 ， 自 带 车库 和 私人 车道 。,Single family villa with garage and driveway.,10.0,driveway,私人,。,和,.,and,4.89655057598124e-06,,and,driveway,and driveway,conj
20.0,CMU,19.0,一 楼 有 half bath 。,一 楼 有 半 浴室 。,There are half bathrooms on the first floor.,4.0,half,半,bath,有,浴,There are,0.00332088859553227,,There are,half,There are half,amod
21.0,CMU,22.0,精装 修 家具 全 free 无线 上网 !,精装 修 家具 全 免费 无线 上网 ！,Hardcover repair furniture all free wireless Internet access!,5.0,free,免费,上网,全,surf the internet,all,3.9109859595603994e-05,,all,free,all free,amod
