sent_type,university,sent_id,aligned_to,original_sentence,eng_translation,zh_translation,cs_word_id,first_cs_word_form,first_cs_word_translation,preceding_word,preceding_word_translation,ngram_eng,ngram_zh,dep_eng,dep_zh ,word_freq_zh,non_log_word_freq_zh,neg_base_e_word_freq_zh,base_e_word_freq_zh,word_freq_eng,non_log_word_freq_eng,neg_base_e_word_freq_eng,base_e_word_freq_eng,cs_word_pos_zh,cs_word_pos_eng,cs_word_length_zh,cs_word_length_eng,sentence_length_zh,ngram_surp_zh,base_2_ngram_prob_zh,raw_ngram_prob_zh,base_10_ngram_prob_zh,base_10_ngram_surp_zh,retrained_ngram_surp_zh,dep_surp_zh,gt_ngram_surp_eng,ngram_surp_eng,base_2_ngram_prob_eng,raw_ngram_prob_eng,base_10_ngram_prob_eng,base_10_ngram_surp_eng,dep_surp_eng,zh_word_index,cs_back_word,google_trans_surp_zh,fanyi_trans_surp_zh,llm_surp_zh,llm_surp_eng,,governor_first_cs_word_trans,deprel_first_cs_word_trans,surprisal_values,average_surprisal,bilingual_corpus_frequency_negative_log_first_cs_word,bilingual_corpus_frequency_negative_log_first_cs_word_trans,length_first_cs_word_form,dependency_distance,if_it_is_root,if_previous_word_is_punctuation,surprisal_of_previous_word,surprisal_first_cs_word_trans
code-switch,CMU,2,CMU_296,rich neighborhood ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,"Rich neighborhood is very safe (it belongs to the rich area). It is adjacent to the park, and there are various supporting golf fields and community facilities nearby. The environment is very nice and quiet.",富人 区 ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,1,rich,富人,<s>,<s>,<s> rich,<s> 富人,amod rich neighborhood,compound 富人 区,67.251738207706500,0.000000000000000,-46.615352726427300,46.615352726427300,13.91112882,0.00006491,-9.64245972,9.64245972,NN,JJ,2,4,34,20.3874952,-20.3874952,0.0000007,-6.1372476,6.1372476,7.3514414,5.4529877,19.8797949911941,19.8797950,-19.8797950,0.0000010,-5.9844146,5.9844146,3.437775,0,非常,23.8906192193143,23.8906192193143,16.9635825157166,0.0,,2,compound:nn,6.100998 1.320391 0.7630151 4.4722 3.20577 2.76481 3.874677 3.395841 5.984178 1.320391 2.043565 0.7296352 4.6413 3.554084 2.235204 4.472754 1.254587 2.761207 1.42266 4.00532 0.3216881 3.688545 4.236028 5.883419 2.087959 3.743304 4.819367 0.6720446 4.722296 3.517969 3.595524 5.194436 3.258603 0.8566467,3.144718138235290,11.319097967990100,10.402807236115900,4,1,0,,,6.100998
code-switch,CMU,4,CMU_3006,lease 从 八月 开始 ， 具体 日期 可以 商量 。,Lease will begin in August and the date is negotiable.,租约 从 八月 开始 ， 具体 日期 可以 商量 。,1,lease,租约,<s>,<s>,<s> lease,<s> 租约,nsubj lease begin,nsubj 租约 开始,59.98542541527330,0.00000000000000,-41.57872850128560,41.57872850128560,16.2248575,0.0000131,-11.2462142,11.2462142,NN,NN,2,5,10,23.1197578,-23.1197578,0.0000001,-6.9597406,6.9597406,7.3514414,5.815536,16.4006656184221,21.5259167,-21.5259167,0.0000003,-6.4799466,6.4799466,4.802618,0,从,24.4209597245781,24.4209597245781,18.2646279335022,0.0,,9,nmod:topic,6.527233 3.646975 4.193077 1.173965 0.5694761 4.162648 1.981575 3.114755 5.065556 1.119376,3.1554636100000000,7.34880605443795,10.066334999494700,5,8,0,,,6.527233
code-switch,CMU,5,CMU_70,house 一共 有 两 层 + 地下室 。,House has two floors plus basement.,房子 一共 有 两 层 + 地下室 。,1,house,房子,<s>,<s>,<s> house,<s> 房子,nsubj house has,nsubj 房子 有,53.96242516285600,0.00000000000000,-37.40390285781070,37.40390285781070,11.97831148,0.00024784,-8.30273283,8.30273283,NN,NNP,2,5,8,18.326160,-18.326160,0.000003,-5.516724,5.516724,7.0391965,4.2590475,17.6498158872203,17.649816,-17.649816,0.000005,-5.313124,5.313124,3.5520854,0,一共,24.2842045819246,15.8481748288144,16.3016061782837,0.0,,3,nsubj,5.512905 5.228868 0.5955775 1.38895 2.136289 4.214566 6.114262 0.9592402,3.2688322125000000,6.694125154705800,7.084991463392810,5,2,0,,,5.512905
code-switch,CMU,6,CMU_6777,一共 有 两 个 可以 洗澡 的 bathroom 。,There are two bathrooms for bathing.,一共 有 两 个 可以 洗澡 的 浴室 。,8,bathroom,浴室,的,the,the bathroom,的 浴室,nsubj are bathroom,obj 有 浴室,58.288939660911200,0.000000000000000,-40.402814183789400,40.402814183789400,16.7143143,0.0000093,-11.5854798,11.5854798,NN,NNP,2,8,9,9.16779,-9.16779,0.00174,-2.75978,2.75978,7.21781,3.6569927,15.4687461949732,20.407013,-20.407013,0.000001,-6.143123,6.143123,5.07059,7,,14.0409844895259,23.977045822559,18.6841163635254,14.8777046203613,,2,dobj,4.509301 0.2903937 1.38895 0.4321387 3.465795 6.824737 0.8959952 5.210801 0.762357,2.6422742888888900,8.61104776688786,9.709660055555970,8,6,0,0,0.8959952,5.210801
code-switch,CMU,9,CMU_4373,整个 house 家具 齐全 。,The whole house is fully furnished.,整个 房子 家具 齐全 。,2,house,房子,整个,The whole,The whole house,整个 房子,nsubj:pass house furnished,nmod 房子 家具,53.96242516285600,0.00000000000000,-37.40390285781070,37.40390285781070,11.97831148,0.00024784,-8.30273283,8.30273283,NN,NNP,2,5,5,13.417158,-13.417158,0.000091,-4.038967,4.038967,6.8726544,4.729782,10.0937356534785,10.0114761,-10.0114761,0.0009688,-3.0137546,3.0137546,2.9977286,1,家具,22.8304637378112,18.1416339855246,17.8732461929321,9.57151412963867,,3,compound:nn,3.732348 4.488641 5.760885 6.166569 0.8237057,4.19442974,6.694125154705800,7.084991463392810,5,1,0,0,3.732348,4.488641
code-switch,CMU,10,CMU_2172,后院 ： deck 。,Backyard: Deck.,后院 ： 阳台 。,3,deck,阳台,：,:,: deck,： 阳台,dep backyard deck,appos 后院 阳台,57.66022636671940,0.00000000000000,-39.96702333653980,39.96702333653980,15.7341566,0.0000183,-10.9060863,10.9060863,NN,NN,2,4,4,19.4621652,-19.4621652,0.0000014,-5.8586955,5.8586955,7.8777566,6.324594,22.2756027525078,22.2756028,-22.2756028,0.0000002,-6.7056246,6.7056246,6.397855,2,,26.1693409742243,24.3055645795747,17.1224050521851,19.1191425323486,,0,root,6.258925 2.914741 5.750101 0.8616973,3.9463660750000000,10.220485679322000,9.93280360687018,4,0,1,1,6.258925,5.750101
code-switch,CMU,13,CMU_358,空调 有 window ac 和 暖气 。,The air conditioner has window ac and heating.,空调 有 窗口 式 冷气机 和 暖气 。,3,window,窗口,有,There are,There are window,有 窗口,compound window ac,compound 窗口 式,54.510496115495100,0.000000000000000,-37.783796693379300,37.783796693379300,13.80464927,0.00006989,-9.56865372,9.56865372,NN,NN,2,6,8,16.036139,-16.036139,0.000015,-4.827359,4.827359,7.2971773,4.927993,18.1656933819446,18.1656934,-18.1656934,0.0000034,-5.4684186,5.4684186,4.210437,2,和,24.8551566547269,24.2406982862443,22.0666527748108,17.48903465271,,4,compound:nn,5.445959 3.517004 5.82538 2.047275 0.6465095 1.845845 4.911385 1.231957,3.1839143125000000,10.402807236115900,12.012245148550000,6,1,0,0,3.517004,5.82538
code-switch,CMU,14,CMU_1961,入住 时间 flexible ， 可 长期 入住 。,"Flexible check-in time, can be long-term stay.",入住 时间 灵活 ， 可 长期 入住 。,3,flexible,灵活,时间,time,time flexible,时间 灵活,amod flexible check,root 灵活,53.355964036109900,0.000000000000000,-36.983536037687400,36.983536037687400,16.2449917,0.0000129,-11.2601702,11.2601702,VA,JJ,2,8,8,16.6056552,-16.6056552,0.0000100,-4.9988003,4.9988003,7.297524,5.2408514,26.7841913302221,21.3860575,-21.3860575,0.0000004,-6.4378448,6.4378448,4.147177,2,可,24.2418499987148,24.2418499987148,16.6181681156158,0.0,,1,conj,5.976814 3.558488 5.42058 0.7122998 1.506279 3.80937 4.813555 0.9292497,3.3408294375,10.625950787430100,10.913632859881900,8,2,0,0,3.558488,5.42058
code-switch,CMU,15,CMU_5216,感兴趣 的 同学 ， 欢迎 email （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己 。,"If you are interested, please email (please specify ""Rent"") and introduce yourself briefly.",感兴趣 的 同学 ， 欢迎 发送 邮件 （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己 。,6,email,发送,欢迎,welcome,welcome email,欢迎 发送,root email,advcl 发送 介绍,55.80660998892390,0.00000000000000,-38.68219437043110,38.68219437043110,18.2410044,0.0000032,-12.6437008,12.6437008,VV,NN,2,5,21,17.538156,-17.538156,0.000005,-5.279511,5.279511,7.1598167,4.30866,18.5864700547829,17.8308856,-17.8308856,0.0000043,-5.3676314,5.3676314,6.1919107,5,请,15.1928215323269,23.8084323928971,35.8844509124756,3.71896386146545,,5,ccomp,7.042348 0.4746102 4.199065 0.765377 4.921011 5.679813 1.964966 2.43689 4.056521 5.244545 1.039642 6.265025 2.432533 1.712326 0.6021351 4.027341 4.666379 2.487469 1.699935 1.931871 2.022749,3.1272643476190500,7.630218513876140,10.220485679322000,5,1,0,0,4.921011,5.679813
code-switch,CMU,16,CMU_64,二 楼 是 三 间 卧室 和 一 个 full 卫生间 。,The second floor has three bedrooms and a full bathroom.,二 楼 是 三 间 卧室 和 一 个 设施 完全 的 卫生间 。,10,full,设施,个,a,a full,个 设施,amod full bathroom,nsubj 设施 完全,51.88382004779110,0.00000000000000,-35.96312358280600,35.96312358280600,12.26703228,0.00020289,-8.50285884,8.50285884,NN,JJ,2,4,14,14.8240553,-14.8240553,0.0000345,-4.4624853,4.4624853,7.1875896,3.922511,9.35642806554047,9.3564281,-9.3564281,0.0015256,-2.8165655,2.8165655,2.5750613,9,卫生间,14.2754890273354,10.009226799323,49.960147857666,5.26253700256348,,13,dep,3.222314 1.591621 1.601642 3.04637 2.053292 3.379827 1.532987 2.57814 5.729619 4.276497 3.368013 1.451586 5.637688 0.7613617,2.8736398357142900,7.83785787865438,9.239656426310240,4,3,0,0,5.729619,4.276497
