,sentence_length_zh,cs_back_word,word_freq_zh,cs_word_pos_zh,cs_word_length_zh,ngram_surp_zh,zh_word_index,cs_back_word_eng,word_freq_eng,cs_word_pos_eng,cs_word_length_eng,ngram_surp_eng_not_updated
0,34,非常,8.291759627895480,AD,2,7.2327523,3,very,7.23128265341125,RB,4,5.1751757
1,10,从,6.377483472434710,P,1,5.668829,1,from,5.68258953417454,IN,4,3.9717555
2,8,一共,12.623917404187000,AD,2,6.904053,1,a total of,11.7216285726286,DT,10,3.7714994
4,5,家具,11.90869298800790,NN,2,7.1807833,2,furniture,10.8916177065946,NN,9,6.250285
6,8,和,4.681213610519310,CC,1,3.4168775,5,and,3.774669967841,CC,3,3.2956455
7,8,可,7.093452252120850,AD,1,3.2731566,4,can be,7.74464969738628,MD,6,4.4064207
8,21,请,9.09378964655144,VV,1,7.211736,8,please,10.1736513378286,UH,6,6.6739063
9,14,卫生间,12.958432945055500,NN,3,7.21781,12,toilet,12.0223465491507,NN,6,6.55797
10,12,短信,13.28962587920390,NN,2,7.1807833,6,sms,14.4898306202098,NN,3,8.248479
13,8,无线,11.875683387473400,NN,2,7.1807833,5,wireless,12.274317244805,NNP,8,6.314998
14,15,并且,8.458645571635330,AD,2,5.7279725,10,and,3.774669967841,CC,3,3.2956455
15,9,还,6.404130924023890,AD,1,7.1807833,9,also,6.95619717725742,RB,4,4.2201896
16,12,及,6.972065783256670,CC,1,4.1924424,9,and,3.774669967841,CC,3,3.2956455
18,8,哦,12.653037989669800,IJ,1,6.8726544,6,oh,9.38930194902854,UH,2,6.9659677
19,22,可以,6.39906961183706,VV,2,7.1598167,2,can,6.37274445896951,MD,3,4.4064207
20,6,联系,7.951912412664680,NN,2,7.1670523,3,contact,9.63270452975096,NN,7,5.744354
21,16,的,2.7277528723935400,DEG,1,4.1759996,5,the,3.04312077096989,DT,3,3.469161
22,10,和,4.681213610519310,CC,1,3.4306083,4,and,3.774669967841,CC,3,3.2956455
23,11,二,6.216225093655350,CD,1,6.871142,2,two,6.91821671445168,CD,3,4.6764927
24,6,或,6.86730607567808,CC,1,3.7031012,2,or,5.5796259385765,CC,2,3.9497473
27,26,里面,10.463452851034900,NN,2,7.198451,1,inside,9.46922123462188,RB,6,5.196686
28,17,帮忙,11.874041934820600,VV,2,7.1670523,4,help,8.4558497749234,NN,4,5.704367
30,11,好,6.901947304013090,VA,1,7.1807833,11,good,7.5310626578725,JJ,4,5.420873
31,16,收发,13.544003637006200,NN,2,7.239988,11,send and receive,15.1235965743873,VB,16,6.153658
32,6,经历,9.12649633742232,NN,2,7.1670523,4,experience,8.6793211769279,NN,10,5.360956
33,16,并且,8.458645571635330,AD,2,5.7279725,11,and,3.774669967841,CC,3,3.2956455
34,12,非常,8.291759627895480,AD,2,7.1598167,2,very,7.23128265341125,RB,4,5.1751757
36,25,含,10.75983814999830,VV,1,7.2327523,7,containing,9.84483133819522,VBG,10,5.375416
37,13,或者,7.832806844992630,CC,2,4.9270983,9,or,5.5796259385765,CC,2,3.9497473
38,11,的,2.7277528723935400,DEG,1,4.1897306,5,the,3.04312077096989,DT,3,3.469161
39,3,灵活,9.893430903284730,VA,2,7.1670523,1,flexible,11.2601701602433,JJ,8,6.4378448
40,10,也,5.753495111341640,AD,1,6.8726544,6,also,6.95619717725742,RB,4,4.2201896
41,9,联系,7.951912412664680,NN,2,7.1670523,7,contact,9.63270452975096,NN,7,5.744354
42,21,就,6.133440848420250,AD,1,7.1735477,2,it,5.35225838145451,PRP,2,4.3828855
44,12,联系,7.951912412664680,NN,2,7.1670523,8,contact,9.63270452975096,NN,7,5.744354
45,11,床,11.770828682629100,NN,1,7.1807833,11,the bed,10.8471343743836,DT,7,3.469161
46,16,和,4.681213610519310,CC,1,3.4306083,2,and,3.774669967841,CC,3,3.2956455
47,21,安静,11.606647560520500,VA,2,7.239988,10,quiet,10.0341614114725,NNP,5,6.242342
48,13,两,6.622455166510390,CD,1,7.1807833,3,two,6.91821671445168,CD,3,4.6764927
49,14,及,6.972065783256670,CC,1,7.1670523,14,and,3.774669967841,CC,3,3.2956455
50,7,吗,8.759761060956490,IJ,1,7.1735477,5,?,6.31199790469147,.,1,4.6863203
51,13,就,6.133440848420250,AD,1,7.1735477,5,it,5.35225838145451,PRP,2,4.3828855
52,4,出租,10.550818733744300,VV,2,7.198451,1,rent,10.7935081513794,NN,4,6.215884
53,11,一,4.847867458993150,CD,1,5.594116,3,one,6.19078355147723,CD,3,4.579384
54,10,之前,8.975234645392020,AD,2,6.558925,3,before,7.39771013724242,IN,6,4.499386
57,10,所有,7.879129443470710,DT,2,6.6978993,6,all,6.19945186751629,DT,3,4.6611304
59,20,卧室,13.152579930518,NN,2,7.239988,10,the bedroom,12.3167861535924,DT,11,3.469161
60,10,不,5.309630429407180,AD,1,2.563988,4,don't,14.509010067963,VB,5,8.248479
61,5,不,5.309630429407180,AD,1,6.2062354,2,don't,14.509010067963,VB,5,8.248479
62,8,到,5.759027415452410,VV,1,4.4722433,3,to,3.92606293861701,IN,2,3.6630955
63,12,就,6.133440848420250,AD,1,7.1735477,2,it,5.35225838145451,PRP,2,4.3828855
65,18,的,2.7277528723935400,DEG,1,4.1759996,1,the,3.04312077096989,DT,3,3.469161
66,10,或者,7.832806844992630,CC,2,4.9408293,3,or,5.5796259385765,CC,2,3.9497473
67,22,安静,11.606647560520500,VA,2,7.239988,11,quiet,10.0341614114725,NNP,5,6.242342
68,12,大部分,16.525031006023300,CD,3,7.1598167,2,most of the,9.95241146017054,JJS,11,5.083103
69,24,小,7.703771653739700,JJ,1,6.3825297,12,small,7.97754260686666,JJ,5,5.396529
70,21,家具,11.90869298800790,NN,2,7.3514414,0,furniture,10.8916177065946,NN,9,6.250285
71,15,凉台,17.334284775912400,NN,2,7.239988,8,the terrace,13.0666824360684,DT,11,3.469161
72,16,内,7.2937813464386500,NN,1,7.1598167,3,within the,9.01040138175133,IN,10,4.73732
73,25,两,6.622455166510390,CD,1,7.8777566,3,two,6.91821671445168,CD,3,4.6764927
74,11,和,4.681213610519310,CC,1,2.3974364,5,and,3.774669967841,CC,3,3.2956455
75,11,现在,7.626584107522520,NT,2,7.1735477,5,now,7.37399014799285,RB,3,5.044016
76,9,过,7.247328920661730,VV,1,7.1735477,5,pass,9.44782536774044,VB,4,5.6076517
78,11,很,6.723622818117740,AD,1,7.1670523,1,very,7.23128265341125,RB,4,5.1751757
80,5,和蔼可亲,16.601723626811600,VV,4,7.1670523,3,amiable,12.3559101593925,JJ,7,7.033427
81,11,超大,14.109097253489000,VV,2,7.8777566,2,very large,11.3897599353076,RB,10,5.1751757
